,Season,TeamID,eFG,Poss,TO%,FT%,OR%,WORtg,LORtg,WDRtg,LDRtg
1206,2003,1102,0.4600271002710027,58.7625,0.2552648372686662,0.4680216802168022,0.28348214285714285,1.038077004892576,0.7487768559880876,0.7487768559880876,1.038077004892576
6580,2004,1102,0.5718988218988219,57.9,0.24179620034542315,0.6382536382536382,0.22595281306715065,1.1226252158894645,0.9844559585492229,0.9844559585492229,1.1226252158894645
10770,2005,1102,0.5645833333333333,56.65,0.22065313327449249,0.31875,0.25697865353037763,1.235657546337158,0.9355692850838482,0.9355692850838482,1.235657546337158
14785,2006,1102,0.5831578947368421,57.4625,0.2697411355231673,0.261578947368421,0.30852842809364545,1.2703937350445944,0.8353273874265825,0.8353273874265825,1.2703937350445944
19191,2007,1102,0.6196343402225755,58.849999999999994,0.1784197111299915,0.598834128245893,0.2661764705882353,1.4103653355989807,1.0025488530161428,1.0025488530161428,1.4103653355989807
24560,2008,1102,0.5240800865800865,57.075,0.2102496714848883,0.39556277056277056,0.21793103448275863,1.0512483574244416,0.8760402978537012,0.8760402978537012,1.0512483574244416
30090,2009,1102,0.5196759259259259,60.5125,0.19830613509605452,0.1875,0.23412698412698413,1.1733112993183226,0.8262755629002272,0.8262755629002272,1.1733112993183226
35633,2010,1102,0.48894557823129253,65.975,0.25009473285335354,0.4642857142857143,0.18866080156402737,0.9094353921940129,0.7881773399014779,0.7881773399014779,0.9094353921940129
41108,2011,1102,0.521416083916084,59.5875,0.14264736731697084,0.5603146853146853,0.3246606334841629,1.2418711978183343,1.0572687224669604,1.0572687224669604,1.2418711978183343
46086,2012,1102,0.5217391304347826,58.05,0.2239448751076658,0.36833470057424117,0.4091880341880342,1.1024978466838933,1.03359173126615,1.03359173126615,1.1024978466838933
51543,2013,1102,0.45999999999999996,63.175,0.23743569449940644,0.2537735849056604,0.2962962962962963,0.9655718242975861,0.8389394538979027,0.8389394538979027,0.9655718242975861
56382,2014,1102,0.653125,68.4375,0.1315068493150685,0.66625,0.1867816091954023,1.3735159817351599,1.25662100456621,1.25662100456621,1.3735159817351599
61828,2015,1102,0.6162790697674418,56.8125,0.2552255225522552,0.4165697674418605,0.3279569892473118,1.4081408140814082,0.8272827282728272,0.8272827282728272,1.4081408140814082
66962,2016,1102,0.48111111111111116,65.7875,0.2660079802394072,0.38555555555555554,0.23464373464373467,0.9272278168345052,0.8968269048071443,0.8968269048071443,0.9272278168345052
73837,2017,1102,0.5568019943019943,65.9,0.18209408194233687,0.4547720797720798,0.3316610925306578,1.2291350531107739,1.0925644916540211,1.0925644916540211,1.2291350531107739
77730,2018,1102,0.5011363636363636,68.1,0.27165932452276065,0.32499999999999996,0.22792792792792793,0.8957415565345082,0.8663729809104259,0.8663729809104259,0.8957415565345082
87379,2019,1102,0.509367681498829,66.0125,0.20450672221170232,0.1798260287721646,0.19934640522875818,1.1512971028214354,0.7574323044877864,0.7574323044877864,1.1512971028214354
2187,2003,1103,0.5243453355155483,61.7875,0.19421404005664575,0.376227495908347,0.29926108374384236,1.1976532470159822,0.9710702002832288,0.9710702002832288,1.1976532470159822
5658,2004,1103,0.4041720990873533,67.6,0.30325443786982254,0.25788787483702735,0.5375,0.9023668639053255,0.8727810650887575,0.8727810650887575,0.9023668639053255
10541,2005,1103,0.49944974321349966,72.0875,0.22195248829547423,0.5154071900220103,0.2833333333333333,1.0681463499219697,0.9155540142188312,0.9155540142188312,1.0681463499219697
15190,2006,1103,0.43564701778862924,68.5375,0.19697246033193508,0.5429019881409138,0.31842105263157894,0.9629764727339049,0.8608426044136422,0.8608426044136422,0.9629764727339049
20146,2007,1103,0.3877551020408163,70.3125,0.2346666666666667,0.31734693877551023,0.343980343980344,1.1235555555555556,0.6257777777777778,0.6257777777777778,1.1235555555555556
24870,2008,1103,0.5167214912280702,74.15,0.23600809170600134,0.22738486842105263,0.30656013456686293,1.2946729602157787,0.6608226567768037,0.6608226567768037,1.2946729602157787
30091,2009,1103,0.5476704055220017,69.6875,0.30134529147982064,0.46807592752372734,0.39871794871794874,1.1192825112107623,0.8753363228699551,0.8753363228699551,1.1192825112107623
35572,2010,1103,0.5259978991596639,70.95,0.22551092318534177,0.4164915966386554,0.2936259143155695,1.1698379140239605,0.8315715292459478,0.8315715292459478,1.1698379140239605
41001,2011,1103,0.5228356566397652,65.8625,0.2808882140823686,0.30759354365370506,0.3911764705882353,1.1387360030366294,0.9261719491364586,0.9261719491364586,1.1387360030366294
46063,2012,1103,0.5138888888888888,73.5125,0.23805475259309639,0.5462962962962963,0.35576036866359445,1.1834721986056793,0.8706002380547525,0.8706002380547525,1.1834721986056793
