,Result,Season,Team1,Team2,DeltaSeed,TeamID,eFG,Poss,TO%,FT%,OR%,AvgORtg,AvgDRtg,OrdinalRank
0,1,2003,1421,1411,0,1421,0.6439393939393939,77.875,0.17548960723915272,0.3787878787878788,0.2894736842105263,1.0290585044556375,1.0768805003597721,259.4
1,0,2003,1112,1436,-15,1112,0.5461538461538461,73.4,0.16684789204760844,0.3692307692307693,0.2857142857142857,1.1376021798365121,0.9877384196185287,3.1333333333333333
2,1,2003,1113,1272,3,1113,0.5760869565217391,61.35,0.18533583323493225,0.5652173913043478,0.3428571428571429,1.0358879240086558,0.9690020515414663,43.93333333333333
3,0,2003,1141,1166,5,1141,0.4313725490196079,66.2,0.21506284851199287,0.6274509803921569,0.4146341463414634,0.9381185540160432,0.8141473070111469,96.06666666666666
4,0,2003,1143,1301,-1,1143,0.6734693877551021,68.55,0.1865641219166052,0.3673469387755102,0.2413793103448276,1.1147161648934831,1.0297039663975454,42.53333333333333
5,0,2003,1163,1140,-7,1163,0.6666666666666666,74.125,0.18529346298285992,0.2380952380952381,0.3404255319148936,1.141315345699831,0.9902192242833052,29.666666666666668
6,0,2003,1181,1161,-11,1181,0.4420289855072464,83.15,0.1686152140204239,0.4927536231884058,0.3111111111111111,0.9669272399278411,0.7648827420324714,5.666666666666667
7,0,2003,1211,1153,1,1211,0.41791044776119396,68.025,0.1864823844122713,0.2835820895522388,0.4098360655737705,0.9801899206885514,0.9161717110644806,38.46666666666667
8,0,2003,1228,1443,-9,1228,0.5333333333333333,66.875,0.19253524912119085,0.4166666666666667,0.42857142857142855,1.2261682242990652,1.0915887850467287,9.733333333333333
9,0,2003,1242,1429,-13,1242,0.6734693877551021,68.55,0.20390136769691533,0.3673469387755102,0.2413793103448276,1.1227814247507901,1.0216387065402384,14.666666666666666
10,1,2003,1266,1221,-11,1266,0.5701754385964912,67.3,0.17925621986575702,0.4912280701754386,0.3939393939393939,1.2375291870091274,0.931861600509446,15.8
11,0,2003,1281,1356,-5,1281,0.5806451612903226,70.35,0.19294442252440366,0.41935483870967744,0.35,1.2233762065249791,1.193112777128184,24.133333333333333
12,1,2003,1323,1454,-7,1323,0.5486111111111112,77.925,0.13863319282245787,0.3194444444444444,0.3111111111111111,1.235265505500533,1.202976393761578,8.866666666666667
13,0,2003,1328,1354,-15,1328,0.39,60.025,0.18298626136724006,0.38,0.3333333333333333,0.8696376509787587,0.7796751353602666,15.733333333333333
14,0,2003,1390,1360,-9,1390,0.8023255813953488,68.4,0.195186237515756,0.5581395348837209,0.2,1.1262026032823995,0.9352009054895302,42.06666666666667
15,1,2003,1409,1173,9,1409,0.4576271186440678,69.5,0.19344960626602248,0.3389830508474576,0.29411764705882354,0.9473195637038755,0.9231840334184264,60.4
